week_ending,btc_usd,power_law_trend,power_law_support,btc_vs_power_law_pct,gold_usd_oz,btc_gold_ratio,btc_gold_52w_zscore_pct
2021-02-14,48829.82750964,16503.58334453,6071.32901811,108.47638159,1772.80004883,27.54390014,362.10065811
2021-02-21,57500.71611029,16651.54391019,6125.76066832,123.92944624,1797.90002441,31.98215436,372.18233505
2021-02-28,45359.46416423,16800.59434285,6180.59325820,99.32045831,1715.80004883,26.43633458,259.23263675
2021-03-07,51086.46817943,16950.74093276,6235.82910179,110.32081058,1721.80004883,29.67038374,277.63869320
2021-03-14,59905.61847049,17101.98999644,6291.47052281,125.35754674,1727.09997559,34.68566922,307.40494160
2021-03-21,57447.93301987,17254.34787681,6347.51985470,120.28148623,1733.19995117,33.14558888,263.01354488
2021-03-28,55713.03813968,17407.82094323,6403.97944061,116.32946127,1713.80004883,32.50848206,236.55222702
2021-04-04,58202.19939199,17562.41559156,6460.85163344,119.81620034,1741.59997559,33.41881041,229.09842695
2021-04-11,59932.93064699,17718.13824424,6518.13879589,121.86372400,1736.30004883,34.51761157,224.14540554
2021-04-18,56389.55798130,17874.99535039,6575.84330044,114.88811707,1793.09997559,31.44808363,182.77955976
2021-04-25,48946.94074284,18032.99338581,6633.96752942,99.85338235,1773.90002441,27.59284067,138.71521554
2021-05-02,56572.59684103,18192.13885311,6692.51387499,113.45351436,1784.30004883,31.70576433,169.79061578
2021-05-09,58288.42563039,18352.43828174,6751.48473922,115.56411004,1822.80004883,31.97741061,164.09176419
2021-05-16,46022.50370900,18513.89822810,6810.88253406,91.06087823,1881.50000000,24.46053878,90.60869913
2021-05-23,34774.20722192,18676.52527555,6870.70968139,62.16085378,1901.19995117,18.29066280,31.13210905
2021-05-30,35652.16877031,18840.32603454,6930.96861307,63.78104056,1909.90002441,18.66703404,32.50627608
2021-06-06,35720.60435465,19005.30714264,6991.66177093,63.10094116,1895.50000000,18.84495086,32.01779128
2021-06-13,38925.41942899,19171.47526462,7052.79160678,70.82239819,1861.40002441,20.91190444,49.11963021
2021-06-20,35599.94187843,19338.83709253,7114.36058251,61.02286467,1783.40002441,19.96183772,37.66520623
2021-06-27,34506.49119755,19507.39934575,7176.37117002,57.03536098,1771.59997559,19.47758618,30.64768117
2021-07-04,35355.60788837,19677.16877107,7238.82585134,58.59980007,1802.09997559,19.61911568,29.61737737
2021-07-11,34258.44138983,19848.15214276,7301.72711856,54.58220865,1825.00000000,18.77174871,18.92836594
2021-07-18,31707.70385272,20020.35626263,7365.07747395,45.98101060,1803.40002441,17.58218001,4.72214314
2021-07-25,35119.93743600,20193.78796014,7428.87942991,55.33939569,1799.69995117,19.51432927,21.74599895
2021-08-01,39968.96895441,20368.45409238,7493.13550903,67.41160409,1814.50000000,22.02753869,44.80568518
2021-08-08,43972.30101812,20544.36154426,7557.84824413,76.09733875,1753.30004883,25.07973524,73.37021736
2021-08-15,47074.37071011,20721.51722846,7623.02017823,82.05560666,1784.40002441,26.38106370,83.65376235
2021-08-22,49363.31609527,20899.92808560,7688.65386465,85.94618411,1791.00000000,27.56187387,92.57427585
2021-08-29,48948.34795792,21079.60108425,7754.75186699,84.24598192,1816.00000000,26.95393610,82.78513931
2021-09-05,51747.64385652,21260.54322100,7821.31675914,88.95259779,1793.50000000,28.85288199,99.69895401
2021-09-12,46180.61245640,21442.76152057,7888.35112536,76.71729360,1794.80004883,25.73022688,62.54567761
2021-09-19,47218.47399649,21626.26303586,7955.85756026,78.08767569,1778.80004883,26.54512745,68.63441754
2021-09-26,43131.29417738,21811.05484799,8023.83866884,68.18318723,1722.90002441,25.03412477,48.40895483
2021-10-03,48202.62291771,21997.14406642,8092.29706652,78.45008072,1761.80004883,27.35987148,72.73960994
2021-10-10,54701.27970222,22184.53782899,8161.23537918,90.24915521,1794.69995117,30.47934540,107.12726843
2021-10-17,61462.22237230,22373.24330200,8230.65624313,101.05569663,1784.90002441,34.43454621,151.54907401
2021-10-24,60865.44705231,22563.26768027,8300.56230522,99.23423817,1798.80004883,33.83669413,140.11587983
2021-10-31,61432.97006283,22754.61818724,8370.95622279,99.31785407,1763.90002441,34.82792064,148.70788993
2021-11-07,63043.82905903,22947.30207499,8441.84066374,101.06298109,1848.30004883,34.10908802,135.69700565
2021-11-14,65032.22565482,23141.32662436,8513.21830654,103.32628759,1870.19995117,34.77287314,140.96169654
2021-11-21,59032.62410175,23336.69914500,8585.09184025,92.80630499,1784.30004883,33.08447149,114.84918253
2021-11-28,57248.56969638,23533.42697544,8657.46396458,88.89808237,1784.30004883,32.08460916,98.33591796
2021-12-05,49327.09359994,23731.51748316,8730.33738986,73.16694797,1785.50000000,27.62648759,30.75808773
2021-12-12,50136.57225687,23930.97806466,8803.71483711,73.95769540,1764.50000000,28.41403925,39.42567145
2021-12-19,46876.42692402,24131.81614555,8877.59903808,66.39837830,1802.19995117,26.01066929,-3.03206194
2021-12-26,50798.30658591,24334.03918058,8951.99273520,73.59868596,1805.80004883,28.13063751,28.91007698
2022-01-02,47352.55775658,24537.65465377,9026.89868169,65.74119739,1825.09997559,25.94518568,-12.16426809
2022-01-09,41886.49855698,24742.67007842,9102.31964154,52.64342582,1827.30004883,22.92261667,-67.16153606
2022-01-16,43168.85966715,24949.09299722,9178.25838955,54.82819256,1843.19995117,23.42060591,-60.47418322
2022-01-23,36271.05026505,25156.93098232,9254.71771136,36.58864654,1829.69995117,19.82349633,-128.18360183
2022-01-30,37983.50638457,25366.19163538,9331.70040347,40.37347736,1810.30004883,20.98188442,-109.44203531
